visitors,ad_impressions,major_sports_event,genre,dayofweek,season,views_trailer,views_content
1.67,1113.81,0,Horror,Wednesday,Spring,56.7,0.51
1.46,1498.41,1,Thriller,Friday,Fall,52.69,0.32
1.47,1079.19,1,Thriller,Wednesday,Fall,48.74,0.39
1.85,1342.77,1,Sci-Fi,Friday,Fall,49.81,0.44
1.46,1498.41,0,Sci-Fi,Sunday,Winter,55.83,0.46
1.61,1588.38,1,Thriller,Sunday,Fall,49.72,0.36
1.8,1311.96,1,Others,Thursday,Fall,48.15,0.44
1.58,1690.43,0,Horror,Friday,Fall,56.11,0.44
1.7,1498.41,1,Drama,Friday,Winter,51.91,0.36
1.78,1336.16,0,Action,Wednesday,Summer,48.22,0.51
1.69,1079.19,1,Drama,Wednesday,Spring,52.55,0.39
1.62,2122.33,0,Sci-Fi,Wednesday,Winter,52.52,0.47
2.02,1246.03,1,Others,Friday,Spring,52.45,0.42
1.55,1010.87,1,Drama,Friday,Winter,190.02,0.57
1.5,1229.35,1,Others,Wednesday,Winter,59.46,0.34
1.61,1700.04,1,Horror,Monday,Fall,52.24,0.32
1.85,1590.19,0,Thriller,Wednesday,Fall,195.31,0.74
1.59,1420.88,1,Sci-Fi,Saturday,Spring,54.71,0.43
1.79,1686.75,1,Sci-Fi,Saturday,Winter,161.56,0.65
1.7,1714.73,0,Comedy,Friday,Summer,55.16,0.4
1.7,1246.03,0,Others,Wednesday,Spring,54.4,0.55
1.33,1614.01,0,Thriller,Wednesday,Fall,52.63,0.41
1.41,1383.58,0,Comedy,Saturday,Summer,192.32,0.78
1.68,1972.77,0,Sci-Fi,Saturday,Summer,50.79,0.43
1.44,1830.39,0,Horror,Friday,Fall,56.64,0.37
1.63,1714.73,0,Sci-Fi,Wednesday,Winter,56.27,0.51
1.5,1210.33,0,Others,Wednesday,Winter,56.52,0.42
1.59,1172.7,1,Sci-Fi,Thursday,Winter,124.43,0.59
1.78,1361.12,1,Others,Friday,Winter,129.2,0.55
1.25,1710.1,1,Others,Saturday,Spring,54.49,0.37
2.03,1031.85,0,Sci-Fi,Wednesday,Fall,51.83,0.46
1.76,1161.18,0,Others,Thursday,Spring,55.13,0.55
1.7,1284.86,1,Action,Friday,Summer,100.65,0.51
1.81,1342.77,0,Horror,Wednesday,Winter,54.0,0.45
1.7,1623.67,0,Others,Friday,Fall,45.42,0.43
1.81,1498.41,0,Action,Friday,Summer,52.16,0.4
1.49,1145.37,1,Thriller,Wednesday,Spring,49.63,0.4
1.72,1231.3,0,Comedy,Thursday,Summer,54.07,0.39
1.74,2122.33,1,Drama,Thursday,Winter,100.46,0.48
1.81,1590.19,0,Comedy,Saturday,Summer,52.63,0.53
1.35,1388.28,0,Sci-Fi,Friday,Winter,54.56,0.45
1.72,1701.97,0,Romance,Tuesday,Fall,56.78,0.45
2.34,1216.54,0,Romance,Friday,Winter,122.94,0.7
1.46,1189.26,1,Drama,Wednesday,Spring,130.95,0.58
1.7,1439.04,0,Romance,Thursday,Winter,59.05,0.41
1.82,1246.03,0,Drama,Tuesday,Winter,54.67,0.44
1.35,1557.2,1,Others,Friday,Winter,49.9,0.32
2.14,2122.33,1,Horror,Friday,Spring,91.49,0.6
1.73,1701.97,0,Horror,Wednesday,Spring,48.91,0.49
1.92,1342.77,1,Others,Friday,Spring,60.37,0.34
1.82,1477.62,0,Others,Wednesday,Fall,51.9,0.48
1.54,1623.67,1,Drama,Wednesday,Fall,50.94,0.36
1.25,1698.35,0,Action,Friday,Summer,106.3,0.52
1.98,1079.19,0,Horror,Friday,Fall,52.83,0.47
1.9,1336.16,0,Horror,Friday,Fall,57.18,0.49
1.41,1294.78,0,Romance,Friday,Spring,53.04,0.45
1.62,1113.81,1,Thriller,Thursday,Winter,57.73,0.37
1.62,1700.04,0,Action,Wednesday,Summer,50.82,0.47
1.67,1629.94,0,Action,Wednesday,Summer,53.87,0.51
1.25,1388.28,1,Action,Wednesday,Summer,193.46,0.75
1.63,1701.97,0,Romance,Thursday,Spring,48.48,0.41
1.92,1342.77,0,Sci-Fi,Friday,Winter,181.11,0.75
1.98,1741.52,0,Action,Friday,Summer,51.1,0.43
1.82,1639.83,0,Thriller,Friday,Spring,50.99,0.38
1.8,1152.29,1,Others,Thursday,Spring,52.26,0.44
1.44,1172.7,1,Thriller,Friday,Winter,47.11,0.41
1.46,1698.35,1,Sci-Fi,Friday,Winter,55.69,0.37
1.57,1590.19,1,Comedy,Wednesday,Summer,191.37,0.79
2.14,1229.35,0,Others,Tuesday,Winter,46.1,0.51
1.49,1498.41,0,Romance,Friday,Spring,72.08,0.43
1.75,1113.81,0,Comedy,Friday,Summer,57.48,0.49
1.73,1654.93,0,Drama,Wednesday,Summer,125.22,0.77
1.77,1700.04,0,Romance,Wednesday,Winter,54.98,0.51
1.7,1079.19,1,Comedy,Wednesday,Summer,52.03,0.52
1.76,1390.62,0,Others,Friday,Fall,48.8,0.27
1.93,1420.88,0,Sci-Fi,Wednesday,Fall,49.23,0.52
1.73,1639.83,1,Thriller,Friday,Winter,53.96,0.4
1.92,1972.77,0,Others,Thursday,Spring,51.53,0.47
1.81,1323.74,0,Action,Saturday,Summer,54.56,0.51
1.53,1525.32,0,Horror,Friday,Fall,54.0,0.29
1.39,1081.23,1,Sci-Fi,Thursday,Spring,172.77,0.63
1.68,1590.19,0,Horror,Friday,Winter,52.53,0.46
1.8,1342.77,0,Action,Friday,Summer,53.79,0.53
1.7,1992.53,0,Horror,Wednesday,Winter,30.34,0.39
1.73,1216.54,0,Action,Friday,Summer,33.51,0.34
1.33,1079.19,0,Drama,Sunday,Spring,57.29,0.42
1.54,1928.85,1,Sci-Fi,Sunday,Spring,53.19,0.45
1.76,1498.41,1,Sci-Fi,Saturday,Spring,52.14,0.44
1.39,1231.3,1,Drama,Friday,Winter,46.39,0.31
1.9,1588.38,0,Drama,Tuesday,Fall,50.09,0.47
1.9,1403.8,0,Romance,Friday,Fall,188.95,0.74
1.25,1067.64,0,Others,Tuesday,Spring,144.25,0.67
1.81,1119.9,0,Horror,Saturday,Spring,117.66,0.61
